	g1_01_R1	g1_01_R2	g1_02_R1	g1_02_R2	g1_03_R1	g1_03_R2	g3_01_R1	g3_01_R2	g3_02_R1	g3_02_R2	g3_03_R1	g3_03_R2
128up	0	0	0	0	0	0	0	0	0	0	0	0
14-3-3epsilon	0	0	0	0	0	0	0	0	0	0	0	0
14-3-3zeta	0	0	0	0	0	0	0	0	0	0	0	0
140up	0	0	0	0	0	0	0	0	0	0	0	0
18SrRNA:CR41548	0	0	0	0	0	0	0	0	0	0	0	0
18SrRNA:CR45838	0	0	0	0	0	0	0	0	0	0	0	0
18SrRNA:CR45841	0	0	0	0	0	0	0	0	0	0	0	0
18w	0	0	0	0	0	0	0	0	0	0	0	0
26-29-p	0	0	0	0	0	0	0	0	0	0	0	0
28SrRNA:CR45837	0	0	0	0	0	0	0	0	0	0	0	0
28SrRNA:CR45844	0	0	0	0	0	0	0	0	0	0	0	0
2SrRNA:CR45836	0	0	0	0	0	0	0	0	0	0	0	0
2SrRNA:CR45840	0	0	0	0	0	0	0	0	0	0	0	0
2SrRNA:CR45843	0	0	0	0	0	0	0	0	0	0	0	0
2SrRNA:CR45864	0	0	0	0	0	0	0	0	0	0	0	0
2mit	0	0	0	0	0	0	0	0	0	0	0	0
312	0	0	0	0	0	0	0	0	0	0	0	0
4E-T	190.172718824145	143.132447358405	167.756008592606	167.368450222534	185.172327228861	182.12846304756	203.093818556274	165.914526531093	199.248465179134	160.093821299655	191.73531833983	175.87194057429
5-HT1A	0	0	0	0	0	0	0	0	0	0	0	0
5-HT1B	0	0	0	0	0	0	0	0	0	0	0	0
5-HT2A	0	0	0	0	0	0	0	0	0	0	0	0
5-HT2B	0	0	0	0	0	0	0	0	0	0	0	0
5-HT7	0	0	0	0	0	0	0	0	0	0	0	0
5.8SrRNA:CR40454	0	0	0	0	0	0	0	0	0	0	0	0
5.8SrRNA:CR45839	0	0	0	0	0	0	0	0	0	0	0	0
5.8SrRNA:CR45842	0	0	0	0	0	0	0	0	0	0	0	0
5.8SrRNA:CR45852	0	0	0	0	0	0	0	0	0	0	0	0
5PtaseI	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33353	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33354	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33355	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33357	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33358	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33359	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33360	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33361	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33362	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33364	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33365	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33366	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33367	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33368	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33369	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33370	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33372	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33373	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33374	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33375	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33376	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33377	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33378	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33379	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33380	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33381	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33382	0	0	0	0	0	0	0	0	0	0	0	0
